Rok,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Úhrn,"52,2","56,8","61,7","68,3","69,8","72,4","75,8","77,2","77,3","79,4","80,9",83,"85,3","90,7","91,7",93,"94,8","97,9","99,3","99,7",100,"100,7","103,1","105,3","108,3","111,8","116,1","133,6","147,8"
Potraviny a nealkoholické nápoje,65,"70,2","73,3","76,6","72,3",73,"76,7","75,2","73,6","76,1","75,9","76,6","80,1","86,6","83,2","84,4","88,3","94,5","99,1","101,1",100,"99,1","104,2","105,6","108,5","113,5","114,4","133,5","148,8"
Pekárenské výrobky; obiloviny,"49,1",58,"64,8","64,9","61,9","59,7",63,"62,9","63,5","70,2","68,8","73,7","81,2","95,8","86,1","82,1","93,6","97,9","99,9","100,3",100,100,105,"105,3",109,"111,5","113,7","138,4","157,1"
Maso,"79,5","84,8","87,6","90,5","82,2","85,7","92,8","85,9",81,"83,2","84,2","82,9","83,6","87,6","87,8","86,7","87,9",95,"99,6","102,1",100,"99,5","103,8","105,1","108,8","117,2","115,1","134,3","144,6"
Ryby,"55,4","57,7","64,8","73,2",73,"71,8","75,4","75,8","72,9","71,4","71,3","72,3",74,"77,5","79,3",80,81,"89,5","95,6","97,7",100,"104,4","107,4","106,3","107,6","108,9","110,8","120,2","131,8"
"Mléko, sýry, vejce","57,6","65,5",69,73,"68,2","72,1","74,2","74,1","71,9","74,8","75,2","74,6","79,2","88,3","81,3","83,7",88,"96,4","98,5","105,8",100,"93,7","103,9","107,9","108,6","109,5","110,7","133,7","147,9"
Oleje a tuky,64,"67,5","70,1","74,2","70,1","68,3","69,9","71,1","70,4","73,2","73,4","71,2","74,3","84,8","80,3","83,5","94,9","95,3","100,1","102,6",100,"97,5","111,3","115,8","112,1","110,7","124,4","172,3",172
Ovoce,"68,6","76,8","79,7","79,2","75,1","71,3","80,7","78,5","79,7","81,7","82,8","77,7","83,8","88,8","81,2","84,6","86,8","91,9","97,3","97,8",100,"97,6","99,7","102,5","98,5","116,4","114,7","118,7","131,7"
Zelenina,"84,3",79,"75,7",82,"73,6","73,3","74,3","78,5","76,5","72,8",66,"77,4","81,6","76,5","73,8","87,4","81,2","82,1","99,4","95,7",100,"104,3",104,"103,9","124,2","127,4","127,1","140,3","170,4"
"Cukr, marmeláda, med, čokoláda a cukrář. výrobky","60,4","63,5","62,4","66,7","69,2","71,6","74,1","74,8","73,7","77,6","79,6","78,2","79,4","84,9",87,87,"91,4","97,5","98,5","99,9",100,"99,9","104,2","102,4","100,9","105,2",107,"122,7","141,7"
Nealkoholické nápoje,"84,2","81,7","83,7","89,9","87,4",85,"84,2",82,"80,7",81,"79,8",79,"80,4","85,3","86,7","86,2","92,1","100,9","101,8","100,8",100,"100,3","101,9","101,8",102,"103,8","104,8","116,8","132,2"
"Alkoholické nápoje, tabák","40,2","44,1",47,"51,4","53,8","56,1","57,9",59,"59,5","61,3","62,2","62,8","69,3","76,1","81,1","84,8","87,5","89,7","92,9","95,5",100,"104,4","106,2","109,4","111,8","120,3","130,4","138,6","147,7"
Alkoholické nápoje,"59,7","62,9","66,7","71,3","73,1","74,2","75,6","77,3","78,6","79,3","79,4","80,1","81,6","84,2","85,5","89,6","91,8","93,5","96,7","98,6",100,"103,6","103,5","106,1","108,9","114,1","116,7","120,4","128,3"
Tabák,"29,2","33,1","35,2","39,3","41,7","44,2",46,"46,6","46,6","49,3","50,7","51,5",61,"70,4","77,6","80,7","83,8","86,4","89,7",93,100,"105,1","108,6","112,2","114,3","125,5",142,"153,6","163,8"
Odívání a obuv,"110,1","121,5","132,2","140,5","140,7","137,9","135,6","132,1","125,6","120,4","114,2","107,3","106,5","105,4","102,6",100,"97,7","94,8","93,8","96,8",100,"101,8","102,1",101,"99,8","103,4","110,2","130,7","145,2"
Odívání,"114,7","126,3","137,1","145,6","146,4","144,6","142,9","139,3","133,4","129,1",123,"116,1","114,6","112,5","109,1","105,8","102,8","98,9","96,8","98,5",100,"100,6","99,9","97,6","95,1","99,1","105,4","126,2","140,8"
Obuv vč. oprav,"99,5","110,4","121,5","129,4","128,2","122,5","118,3","114,9","106,7","99,4","92,5","85,7","86,3","87,1","86,2","85,5","85,1","84,5","86,7","92,4",100,"105,2","108,6",111,"113,6","116,3","124,4","143,2","157,2"
